,open,close,close_open
96,2021-12-27 18:54:01,2021-12-28 03:53:37,0 days 08:59:36
97,2021-12-28 14:46:06,2021-12-28 17:02:45,0 days 02:16:39
98,2021-12-29 14:29:17,2021-12-30 02:04:17,0 days 11:35:00
99,2021-12-30 02:05:54,2021-12-30 02:23:57,0 days 00:18:03
100,2021-12-30 12:29:06,2021-12-30 12:30:42,0 days 00:01:36
101,2021-12-30 12:32:42,2021-12-30 12:34:13,0 days 00:01:31
102,2021-12-30 13:31:44,2021-12-31 03:41:56,0 days 14:10:12
103,2021-12-31 12:41:19,2021-12-31 13:27:52,0 days 00:46:33
104,2021-12-31 14:14:55,2021-12-31 17:45:27,0 days 03:30:32
105,2022-01-01 15:34:16,2022-01-01 17:02:46,0 days 01:28:30
106,2022-01-04 20:23:17,2022-01-04 20:47:58,0 days 00:24:41
107,2022-01-04 21:10:31,2022-01-05 02:29:41,0 days 05:19:10
108,2022-01-05 20:00:29,2022-01-06 00:27:35,0 days 04:27:06
109,2022-01-06 00:56:49,2022-01-06 05:07:48,0 days 04:10:59
110,2022-01-06 15:43:09,2022-01-07 03:51:23,0 days 12:08:14
111,2022-01-07 22:16:27,2022-01-07 23:59:10,0 days 01:42:43
112,2022-01-08 13:40:47,2022-01-09 03:10:47,0 days 13:30:00
113,2022-01-09 15:13:01,2022-01-09 20:56:52,0 days 05:43:51
114,2022-01-09 21:11:07,2022-01-09 21:22:48,0 days 00:11:41
115,2022-01-10 19:11:13,2022-01-10 20:39:24,0 days 01:28:11
116,2022-01-12 18:33:03,2022-01-12 19:56:39,0 days 01:23:36
117,2022-01-13 20:50:29,2022-01-13 21:42:12,0 days 00:51:43
118,2022-01-13 22:37:23,2022-01-14 01:36:31,0 days 02:59:08
119,2022-01-14 15:41:04,2022-01-14 16:47:23,0 days 01:06:19
120,2022-01-14 22:02:54,2022-01-15 02:11:53,0 days 04:08:59
121,2022-01-16 20:12:37,2022-01-17 01:27:25,0 days 05:14:48
122,2022-01-17 15:10:15,2022-01-17 23:53:08,0 days 08:42:53
123,2022-01-19 18:50:13,2022-01-19 21:42:50,0 days 02:52:37
124,2022-01-20 18:56:43,2022-01-20 20:01:40,0 days 01:04:57
125,2022-01-21 15:12:31,2022-01-21 19:04:33,0 days 03:52:02
126,2022-01-22 02:30:43,2022-01-22 02:42:21,0 days 00:11:38
127,2022-01-22 17:47:30,2022-01-23 02:16:36,0 days 08:29:06
128,2022-01-25 15:30:52,2022-01-25 17:00:09,0 days 01:29:17
129,2022-01-25 17:04:20,2022-01-25 17:31:30,0 days 00:27:10
130,2022-01-25 19:10:03,2022-01-25 21:19:03,0 days 02:09:00
131,2022-01-26 15:12:04,2022-01-27 02:07:40,0 days 10:55:36
132,2022-01-27 19:08:10,2022-01-27 21:27:19,0 days 02:19:09
133,2022-01-28 14:50:20,2022-01-28 18:29:08,0 days 03:38:48
134,2022-01-28 18:31:12,2022-01-29 04:23:50,0 days 09:52:38
135,2022-01-29 17:04:17,2022-01-30 03:52:51,0 days 10:48:34
136,2022-01-30 14:47:09,2022-01-31 03:04:45,0 days 12:17:36
137,2022-01-31 14:10:51,2022-01-31 21:43:45,0 days 07:32:54
138,2022-02-01 14:20:02,2022-02-01 16:39:36,0 days 02:19:34
139,2022-02-01 23:52:19,2022-02-02 01:09:56,0 days 01:17:37
140,2022-02-02 21:44:00,2022-02-03 00:10:50,0 days 02:26:50
141,2022-02-03 15:08:57,2022-02-03 19:13:46,0 days 04:04:49
142,2022-02-03 20:26:13,2022-02-03 21:18:34,0 days 00:52:21
143,2022-02-05 14:09:29,2022-02-05 23:03:57,0 days 08:54:28
144,2022-02-06 00:34:41,2022-02-06 01:18:20,0 days 00:43:39
145,2022-02-06 21:25:48,2022-02-07 01:26:39,0 days 04:00:51
146,2022-02-07 20:36:56,2022-02-08 02:41:06,0 days 06:04:10
147,2022-02-09 18:04:17,2022-02-09 18:34:15,0 days 00:29:58
148,2022-02-10 15:33:43,2022-02-10 21:01:12,0 days 05:27:29
149,2022-02-11 14:13:22,2022-02-11 14:47:23,0 days 00:34:01
150,2022-02-11 18:38:11,2022-02-11 19:57:38,0 days 01:19:27
151,2022-02-11 20:29:40,2022-02-12 03:29:11,0 days 06:59:31
152,2022-02-12 14:28:40,2022-02-12 15:31:11,0 days 01:02:31
153,2022-02-12 15:55:42,2022-02-13 00:46:57,0 days 08:51:15
