,open,close,close_open
629,2023-08-06 17:43:44,2023-08-06 18:29:47,0
630,2023-08-06 19:13:51,2023-08-06 19:20:13,0
631,2023-08-06 20:21:19,2023-08-06 20:35:23,0
638,2023-08-11 18:00:28,2023-08-11 18:41:09,0
642,2023-08-16 23:57:07,2023-08-16 23:59:07,0
663,2023-09-06 01:10:12,2023-09-06 01:44:10,0
666,2023-09-13 23:20:31,2023-09-13 23:56:36,0
678,2023-09-24 22:50:59,2023-09-24 23:33:19,0
684,2023-10-01 19:21:38,2023-10-01 20:14:25,0
694,2023-10-16 15:52:39,2023-10-16 16:31:20,0
700,2023-10-23 14:08:46,2023-10-23 15:01:57,0
702,2023-10-24 19:58:31,2023-10-24 20:11:22,0
703,2023-10-24 20:24:50,2023-10-24 20:40:18,0
704,2023-10-24 20:53:41,2023-10-24 20:58:27,0
705,2023-10-24 21:58:26,2023-10-24 22:03:21,0
706,2023-10-24 23:10:27,2023-10-24 23:24:52,0
707,2023-10-24 23:57:03,2023-10-25 00:04:13,0
715,2023-11-03 23:30:32,2023-11-04 00:22:35,0
720,2023-11-06 17:48:38,2023-11-06 17:57:29,0
724,2023-11-10 14:49:20,2023-11-10 15:36:38,0
728,2023-11-13 20:02:28,2023-11-13 20:04:21,0
737,2023-11-30 15:13:31,2023-11-30 15:32:25,0
745,2023-12-07 15:58:14,2023-12-07 16:14:03,0
758,2023-12-17 23:22:12,2023-12-17 23:41:18,0
761,2023-12-21 20:23:12,2023-12-21 21:02:14,0
763,2023-12-23 03:28:46,2023-12-23 03:56:52,0
765,2023-12-23 18:27:51,2023-12-23 19:23:06,0
767,2023-12-27 14:32:46,2023-12-27 14:41:22,0
769,2023-12-28 13:59:13,2023-12-28 14:33:21,0
775,2023-12-30 22:51:08,2023-12-30 23:38:54,0
782,2024-01-02 17:50:41,2024-01-02 17:51:55,0
783,2024-01-03 14:29:44,2024-01-03 14:43:41,0
784,2024-01-03 19:25:28,2024-01-03 20:05:45,0
785,2024-01-03 20:44:51,2024-01-03 21:28:24,0
787,2024-01-04 14:56:46,2024-01-04 15:09:01,0
793,2024-01-09 00:02:57,2024-01-09 00:45:19,0
801,2024-01-17 16:15:52,2024-01-17 16:36:54,0
803,2024-01-18 13:39:53,2024-01-18 14:36:25,0
805,2024-01-19 20:57:20,2024-01-19 21:37:46,0
807,2024-01-20 02:54:27,2024-01-20 03:32:41,0
812,2024-01-28 09:51:58,2024-01-28 10:38:46,0
814,2024-01-29 02:18:17,2024-01-29 02:38:29,0
819,2024-02-03 20:46:15,2024-02-03 21:16:28,0
828,2024-02-23 17:28:25,2024-02-23 17:32:24,0
836,2024-02-29 12:02:54,2024-02-29 12:32:44,0
838,2024-03-01 15:37:17,2024-03-01 16:12:59,0
847,2024-03-10 23:58:06,2024-03-11 00:45:16,0
848,2024-03-11 00:50:04,2024-03-11 00:52:16,0
850,2024-03-12 02:34:38,2024-03-12 03:04:56,0
853,2024-03-21 00:05:49,2024-03-21 00:16:24,0
854,2024-03-21 18:32:20,2024-03-21 19:21:37,0
855,2024-03-22 01:56:08,2024-03-22 02:27:43,0
864,2024-04-03 16:28:08,2024-04-03 16:30:31,0
866,2024-04-04 01:02:39,2024-04-04 01:04:48,0
869,2024-04-09 16:41:43,2024-04-09 17:13:14,0
870,2024-04-09 17:33:01,2024-04-09 17:34:21,0
880,2024-04-19 23:15:35,2024-04-19 23:17:06,0
881,2024-04-19 23:25:02,2024-04-20 00:09:38,0
